inventory_row_id,tradeDate,ticker,scenario,pandar_approval_scope,pandar_direct_portion,project_derived_portion,first_action,source_dataset,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,ivRank1y,rr25_pct252,callskew_pct252,putskew_pct252,call_wing_10_pct252,call_kink_pct252,avgOptVolu20d,oi,dollar_stock_volume,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,long_otm_pct,lower_otm_pct,hiro_followup_available_sessions,hiro_followup_first_session,hiro_followup_last_session,confidence,exErnIv30d,ieeEarnEffect,iv10d,iv30d,iv90d,mwAdj30,dlt5Iv10d,dlt5Iv30d,exErnDlt25Iv30d,exErnDlt75Iv30d,dlt95Iv10d,dlt95Iv30d,rr25,callskew,call_wing_30,call_wing_10,put_wing_10,call_kink,put_wing_10_pct252,iv10d_pct252,sma50,sma200,extension_50d_pct,sma50_rising,above_200d,above_50d,return_63d_pct,relative_return_63d_pct,tradeDate_core,priorCls,mktCap,mktWidthVol,stkVolu,sector,nextErn,bestEtf,sectorName,ivPctile1m,ivPctile1y,confidence_core,wksNextErn,ivPct1y,ivRank1m,ivPct1m,broad_universe,liquid_final,rs63_cross_section_pct,buy_surface_tier,buy_technical_good,buy_first_standard,buy_first_puke,sell_archetype,earnings_near_front_expiry,sell_first_actionable,buy_score,sell_score,universe_size,liquid_universe_size,contract_wing_iv_points,event_inside_expiry,putskew,buy_first_put_tail_inventory,put_inventory_score,leg1_stock_price,leg1_otm_pct,leg1_orats_call_coordinate_delta,leg1_option_delta,leg2_stock_price,leg2_otm_pct,leg2_orats_call_coordinate_delta,leg2_option_delta,delta_basis,entry_day,flow_triggers,live_quote_passes,admitted_triggers,hiro_status,bid_excess_z,bid_excess_n,bid_excess_percentile,selection_distance,earnings_basis,replay_status,selection_audit,frozen_selected_strike,frozen_selected_expiry,frozen_selected_failure
1,2026-08-11,FANG,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.1547619047619,202.21,5.45501955671448,-1.777820954971587,53.12,5.9523809523809526,82.14285714285714,,87.6984126984127,87.6984126984127,2342.55,74779,392010694.0,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-21,11.0,STO,230.0,0.021132228744657,0.1,0.35,1161.0,7.0,BTO,220.0,0.35,0.65,1167.0,177.0,10.0,0.1,0.1,,,8.0,2026-08-21,2026-09-02,0.852588,34.7059,2.65907,35.1271,34.7059,35.4811,0.0280258,40.021499999999996,36.932900000000004,35.022,35.5032,37.7859,38.3899,0.4812000000000012,0.3160999999999987,2.227000000000004,4.894399999999997,2.6587999999999994,3.0885999999999925,3.9682539682539684,40.87301587301587,191.35419999999993,175.46560000000002,5.673144357427251,False,True,True,2.9634910127807057,2.1350836610164903,2026-08-11,198.97,56622802.0,2.80258,1970200,Oil & Gas Exploration,0000-00-00,XLE,Energy,43,49,85.2588,11,50.79,67.79,42.86,True,True,48.52459016393443,,True,False,False,grab,False,True,21.488095238095237,53.1547619047619,305,266,9.19996656219093,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-08-12,FDX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.39285714285714,326.37,4.756860857005285,0.0,31.88,8.333333333333334,93.25396825396824,,97.22222222222224,73.41269841269842,4623.05,52593,490212576.67,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-21,10.0,STO,355.0,0.0498100628790027,0.05,1.5,77.0,0.0,BTO,350.0,0.3,0.82,504.0,7.0,5.0,0.05,0.1,,,9.0,2026-08-21,2026-09-04,0.912646,25.822400000000002,3.80511,25.6801,25.822400000000002,29.0277,0.0360866,33.3843,28.349200000000003,25.8413,27.0949,31.482,29.0967,1.2535999999999987,0.018899999999998585,2.5268000000000015,7.704200000000004,5.8019,5.0351,59.12698412698413,9.523809523809524,319.3038,329.26985,2.213002162830513,False,False,True,-13.183305402601553,-15.70257540940272,2026-08-12,322.43,77213002.0,3.60866,1520369,Freight & Logistics Services,0000-00-00,XLI,Industrials,5,8,91.2646,11,8.33,0.0,4.76,True,True,18.688524590163937,,False,False,False,grab,False,True,11.170634920634921,53.39285714285714,305,260,11.169515312225892,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-08-12,LRCX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.25396825396825,325.38,4.6877513593513775,0.0,56.7,0.3968253968253968,96.82539682539682,,93.65079365079364,77.77777777777777,53708.45,630499,3450924792.92,False,far-call quote wider than 0.10,,2026-08-21,10.0,STO,400.0,0.0428260600970391,0.49,0.75,4491.0,111.0,BTO,395.0,0.61,0.9,34.0,11.0,5.0,0.49,0.39,,,10.0,2026-08-21,2026-09-04,0.979479,64.4816,2.22612,68.608,64.4816,68.26050000000001,0.0516405,73.9419,67.2314,65.4777,64.5518,72.6086,67.0322,-0.9258999999999986,0.9960999999999984,2.7497999999999934,5.3339,4.0005999999999915,6.71050000000001,1.1904761904761905,61.507936507936506,337.6678,247.69495000000003,-3.6390203626167517,True,True,False,12.514263978699125,9.994993971897959,2026-08-12,311.41,407140836.0,5.16405,11081612,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,5,77,97.9479,10,77.38,0.0,4.76,True,True,66.22950819672131,,True,False,False,grab,False,True,20.1984126984127,53.25396825396825,305,260,3.811949403768056,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-08-13,LRCX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.670634920634924,336.71,9.19379945518224,0.0,57.5,0.3968253968253968,99.6031746031746,,96.82539682539682,79.76190476190476,54323.65,645895,3573013453.3700004,False,far-call quote wider than 0.10,,2026-08-21,9.0,STO,420.0,0.0344693674277964,0.43,0.83,1594.0,43.0,BTO,410.0,0.7,1.05,1305.0,54.0,10.0,0.43,0.3299999999999999,,,10.0,2026-08-21,2026-09-04,0.944312,64.4632,2.2075,69.19579999999999,64.4632,69.4584,0.0570704,77.47319999999999,70.40859999999999,65.87190000000001,64.7788,73.653,67.0632,-1.0931000000000068,1.4087000000000103,5.945399999999992,8.2774,4.4572000000000145,7.064599999999999,2.380952380952381,64.68253968253968,337.746,248.61555,-0.30673938403416035,True,True,False,13.488826721493808,11.214607262109855,2026-08-13,326.11,421332294.0,5.70704,10956467,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,14,80,94.4312,9,79.76,3.24,14.29,True,True,64.91803278688525,,True,False,False,grab,False,True,20.05952380952381,53.670634920634924,305,265,12.358053691066209,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-08-13,SMCI,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.492063492063494,39.27,32.62411347517731,0.0,63.25,1.5873015873015872,94.84126984126983,,94.84126984126983,80.15873015873017,287321.3,2582965,2037125754.31,False,far-call bid below 0.20,,2026-08-21,9.0,STO,55.0,0.0274809485034296,0.06,0.09,6862.0,2953.0,BTO,50.0,0.18,0.21,19563.0,14147.0,5.0,0.06,0.1,,,8.0,2026-08-21,2026-09-02,0.875663,81.0188,3.09379,82.4602,81.0188,84.33239999999999,0.0727761,108.951,101.148,86.40870000000001,79.2595,82.6639,79.3616,-7.1492000000000075,5.3899000000000115,20.129199999999997,26.490799999999993,0.20369999999999777,7.802999999999997,1.1904761904761905,68.25396825396825,30.9624,31.867350000000002,26.831253391209998,False,True,True,21.88081936685291,19.606599907468958,2026-08-13,37.61,25402704.0,7.27761,54164471,Computer Hardware Manufacturing,0000-00-00,XLK,Technology,14,75,87.5663,11,75.0,28.16,14.29,True,True,79.67213114754098,,False,False,False,grab,False,True,10.416666666666666,53.492063492063494,305,265,32.41729704036117,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-08-17,GS,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.24603174603175,1050.83,1.666005553351857,-4.383945550995905,37.88,1.5873015873015872,95.63492063492065,,99.2063492063492,86.5079365079365,36360.45,467287,1961430235.06,False,far-call quote wider than 0.10,,2026-08-21,5.0,STO,1125.0,0.0408369944126755,0.43,0.71,285.0,129.0,BTO,1120.0,0.61,1.02,770.0,104.0,5.0,0.43,0.3299999999999999,,,8.0,2026-08-21,2026-09-02,0.989515,29.7756,1.971,31.2917,29.7756,32.1457,0.0302488,34.6679,30.5026,29.456500000000002,30.497000000000003,36.206700000000005,34.3802,1.0405000000000015,-0.31909999999999883,0.7270000000000003,3.3762000000000043,4.915000000000006,4.165300000000002,15.079365079365079,48.41269841269841,1053.8956,931.92475,-0.2908827022335192,True,True,False,10.155668536086782,7.351614482032721,2026-08-17,1039.42,309988484.0,3.02488,1887043,Investment Banking & Brokerage,0000-00-00,XLF,Financials,10,56,98.9515,8,56.35,10.22,9.52,True,True,60.45751633986928,,True,False,False,grab,False,True,20.376984126984127,54.24603174603175,306,268,2.919496449226772,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-08-17,LRCX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.23412698412698,342.66,11.1774439505532,0.0,50.23,1.984126984126984,94.44444444444444,,92.85714285714286,78.96825396825396,53989.65,627021,3569296797.6400003,True,,call,2026-08-21,5.0,STO,400.0,0.0313281814227278,0.31,0.37,4888.0,556.0,BTO,395.0,0.16,1.21,558.0,72.0,5.0,0.31,0.21,,,10.0,2026-08-21,2026-09-04,0.972839,61.4649,2.93752,66.40129999999999,61.4649,65.6292,0.0537196,71.7086,64.77629999999999,62.171200000000006,61.566900000000004,72.5877,65.2308,-0.6043000000000021,0.7063000000000059,3.311399999999992,5.307300000000012,6.186400000000006,6.932300000000012,7.5396825396825395,53.17460317460318,337.5354,250.42480000000003,1.5182407534143127,True,True,True,19.924404157771324,17.120350103717264,2026-08-17,332.36,428777654.0,5.37196,10739249,Semiconductor Equipment & Materials Manufacturing,0000-00-00,XLK,Technology,10,58,97.2839,9,57.94,3.27,9.52,True,True,77.45098039215686,,True,False,False,grab,False,True,20.476190476190478,53.23412698412698,306,268,8.327733931093828,False,,,,342.66,16.733788595108855,0.0313281814227278,0.0313281814227278,342.66,15.274616237669992,0.0425398298353415,0.0425398298353415,ORATS call model delta,,,,,alternative contract not yet replayed,,,,,,,alternative passed unchanged contract gates,395.0,2026-08-21,far-call bid below 0.20; far-call quote wider than 0.10
8,2026-08-19,COIN,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,52.400793650793645,159.02,6.947340103571187,-4.994623013502197,59.16,2.380952380952381,92.46031746031746,,88.88888888888889,70.23809523809524,126705.0,1129119,1128087533.02,True,,call,2026-08-28,10.0,STO,200.0,0.0501451669594977,0.43,0.5,429.0,1013.0,BTO,195.0,0.57,0.68,196.0,208.0,5.0,0.43,0.3299999999999999,,,8.0,2026-08-21,2026-09-02,0.956713,66.3985,1.98237,68.4804,66.3985,70.6585,0.0558996,86.5526,81.6416,69.7491,64.65769999999999,70.43589999999999,68.4362,-5.091400000000007,3.3506,15.243099999999998,18.072199999999995,1.9554999999999865,4.911000000000001,2.7777777777777777,49.6031746031746,157.7628,200.25149999999996,0.7968925500815294,False,False,True,-17.742602938133658,-19.831282721424206,2026-08-19,146.23,41955347.0,5.58996,7714474,Financial Data & Exchanges,0000-00-00,XLF,Financials,52,57,95.6713,10,56.75,42.94,52.38,True,True,11.475409836065573,,False,False,False,grab,False,True,10.615079365079364,52.400793650793645,305,268,18.172420121543276,False,,,,159.02,25.77034335303734,0.0501451669594977,0.0501451669594977,159.02,22.626084769211417,0.0685341434623249,0.0685341434623249,ORATS call model delta,,,,,alternative contract not yet replayed,,,,,,,alternative passed unchanged contract gates,205.0,2026-08-28,far-call bid below 0.20; far-call quote wider than 0.10
9,2026-08-19,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.45238095238095,103.87,9.405940594059414,0.0,47.73,0.3968253968253968,96.82539682539682,,92.06349206349206,84.92063492063492,380247.45,2868838,1481139079.56,True,,,2026-08-28,10.0,STO,140.0,0.0335747081352059,0.24,0.29,762.0,2338.0,BTO,135.0,0.3,0.39,565.0,935.0,5.0,0.24,0.1399999999999999,,,9.0,2026-08-21,2026-09-04,0.969345,73.5299,1.95013,76.61,73.5299,78.6669,0.0512693,98.4879,92.5615,78.4165,70.43469999999999,84.5524,91.4275,-7.981800000000007,4.886600000000001,19.031599999999997,21.877899999999997,7.942400000000006,5.926400000000001,0.3968253968253968,66.66666666666667,100.02600000000001,145.6141,3.843000819786857,False,False,True,-37.04085343678021,-39.129533220070755,2026-08-19,92.52,41265646.0,5.12693,16008853,Application Software,0000-00-00,XLK,Technology,67,67,96.9345,10,67.06,53.38,66.67,True,True,1.639344262295082,,False,False,False,grab,False,True,10.1984126984127,53.45238095238095,305,268,27.885764139286294,False,,,,103.87,34.78386444594204,0.0335747081352059,0.0335747081352059,103.87,29.97015500144411,0.050487561178062,0.050487561178062,ORATS call model delta,2026-08-20,0.0,55.0,0.0,hiro_unavailable,3.4111748936171615,60.0,100.0,,,,,,,
10,2026-08-20,COIN,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.76984126984127,171.56,11.656361861373243,0.0,68.49,0.0,98.015873015873,,98.41269841269842,78.57142857142857,138560.05,1166740,1259514828.0,True,,call,2026-08-28,9.0,STO,220.0,0.0502256276463511,0.41,0.5,480.0,210.0,BTO,215.0,0.56,0.68,341.0,152.0,5.0,0.41,0.3099999999999999,,,8.0,2026-08-21,2026-09-02,0.986072,70.2888,2.18555,72.9254,70.2888,72.7139,0.0430392,95.21,88.1661,74.4117,67.17530000000001,70.96130000000001,71.0686,-7.236399999999989,4.122900000000001,17.877300000000005,22.284599999999998,-1.9640999999999877,7.043899999999994,0.3968253968253968,67.06349206349206,158.09720000000002,199.37665,8.515520831488477,False,False,True,-10.956557845019976,-10.78664982002525,2026-08-20,160.2,45263863.0,4.30392,7862140,Financial Data & Exchanges,0000-00-00,XLF,Financials,67,73,98.6072,10,73.02,66.6,66.67,True,True,20.983606557377048,,False,False,False,grab,False,True,10.09920634920635,53.76984126984127,305,267,23.13418655185686,False,,,,171.56,28.235019818139428,0.0502256276463511,0.0502256276463511,171.56,25.320587549545337,0.0640506800690089,0.0640506800690089,ORATS call model delta,,,,,alternative contract not yet replayed,,,,,,,alternative passed unchanged contract gates,225.0,2026-08-28,far-call quote wider than 0.10
11,2026-08-20,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.08730158730158,112.06,14.370279648907935,0.0,54.85,0.0,99.2063492063492,,96.42857142857144,88.88888888888889,397418.85,3013208,1808857700.25,True,,,2026-08-28,9.0,STO,150.0,0.0430813490575061,0.32,0.38,2474.0,1949.0,BTO,145.0,0.43,0.5,442.0,396.0,5.0,0.32,0.22,,,9.0,2026-08-21,2026-09-04,0.978587,78.2645,2.33914,82.8479,78.2645,81.6067,0.0398799,109.542,101.441,84.0949,74.4046,89.95570000000001,95.6703,-9.690299999999993,5.830399999999997,23.176500000000004,26.694100000000006,7.107800000000012,8.100999999999999,0.0,81.34920634920636,99.93619999999999,144.83065,12.131539922470559,False,False,True,-32.63195863893231,-32.462050613937585,2026-08-20,104.25,44519383.0,3.98799,17351153,Application Software,0000-00-00,XLK,Technology,90,81,97.8587,10,80.95,78.82,90.48,True,True,3.278688524590164,,False,False,False,grab,False,True,10.03968253968254,54.08730158730158,305,267,28.332065544464413,False,,,,112.06,33.85686239514545,0.0430813490575061,0.0430813490575061,112.06,29.394966981973948,0.0605481878688994,0.0605481878688994,ORATS call model delta,2026-08-21,4.0,55.0,4.0,admitted,3.913020732327528,60.0,100.0,,,,,,,
12,2026-08-20,NEM,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.53174603174603,127.39,11.94200351493848,0.0,50.83,0.3968253968253968,96.82539682539682,,97.22222222222224,76.19047619047619,26956.85,599821,914216599.4,False,no 2-6 delta call in 5-19 DTE,,,,,,,,,,,,,,,,,,,,,,10.0,2026-08-21,2026-09-04,0.79443,44.8738,2.05942,44.5023,44.8738,47.423500000000004,0.0462693,55.7721,50.829800000000006,46.6488,43.845099999999995,46.1028,44.4996,-2.8037000000000063,1.7749999999999986,5.956000000000003,11.269800000000004,1.6005000000000038,4.942299999999996,9.920634920634921,38.095238095238095,100.69780000000003,106.08279999999999,26.507232531395886,False,True,True,18.612662942271886,18.78257096726661,2026-08-20,125.08,134229858.0,4.62693,7309055,Gold,0000-00-00,XLB,Materials,100,58,79.443,9,57.94,100.0,100.0,True,True,80.65573770491802,,False,False,False,grab,False,True,10.1984126984127,53.53174603174603,305,267,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-08-21,MRK,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.05555555555556,152.93,12.9134672179563,0.0,67.86,3.968253968253968,91.66666666666669,,93.65079365079364,73.80952380952381,33533.8,560806,1470366070.0900002,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-28,8.0,STO,165.0,0.0477280484640312,0.12,0.23,292.0,83.0,BTO,162.5,0.26,0.32,5.0,111.0,2.5,0.12,0.1,,,7.0,2026-08-24,2026-09-02,0.854288,28.711199999999998,3.19554,29.0355,28.711199999999998,32.1855,0.0342311,33.6876,31.1085,29.180400000000002,29.538700000000002,32.698,31.390800000000002,0.35829999999999984,0.4692000000000043,2.3973000000000013,4.652100000000004,3.6625000000000014,2.579100000000004,21.825396825396826,58.333333333333336,128.00060000000002,115.3407,19.476002456238483,True,True,True,31.938573030799766,31.902140605941653,2026-08-21,148.99,377304559.0,3.42311,9868891,Major Pharmaceuticals,0000-00-00,XLV,Healthcare,86,83,85.4288,9,82.14,49.5,85.71,True,True,88.85245901639345,,False,False,False,grab,False,True,10.813492063492063,53.05555555555556,305,270,4.780961231628189,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
