inventory_row_id,tradeDate,ticker,scenario,pandar_approval_scope,pandar_direct_portion,project_derived_portion,first_action,source_dataset,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,ivRank1y,rr25_pct252,callskew_pct252,putskew_pct252,call_wing_10_pct252,call_kink_pct252,avgOptVolu20d,oi,dollar_stock_volume,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,long_otm_pct,lower_otm_pct,hiro_followup_available_sessions,hiro_followup_first_session,hiro_followup_last_session,confidence,exErnIv30d,ieeEarnEffect,iv10d,iv30d,iv90d,mwAdj30,dlt5Iv10d,dlt5Iv30d,exErnDlt25Iv30d,exErnDlt75Iv30d,dlt95Iv10d,dlt95Iv30d,rr25,callskew,call_wing_30,call_wing_10,put_wing_10,call_kink,put_wing_10_pct252,iv10d_pct252,sma50,sma200,extension_50d_pct,sma50_rising,above_200d,above_50d,return_63d_pct,relative_return_63d_pct,tradeDate_core,priorCls,mktCap,mktWidthVol,stkVolu,sector,nextErn,bestEtf,sectorName,ivPctile1m,ivPctile1y,confidence_core,wksNextErn,ivPct1y,ivRank1m,ivPct1m,broad_universe,liquid_final,rs63_cross_section_pct,buy_surface_tier,buy_technical_good,buy_first_standard,buy_first_puke,sell_archetype,earnings_near_front_expiry,sell_first_actionable,buy_score,sell_score,universe_size,liquid_universe_size,contract_wing_iv_points,event_inside_expiry,putskew,buy_first_put_tail_inventory,put_inventory_score,leg1_stock_price,leg1_otm_pct,leg1_orats_call_coordinate_delta,leg1_option_delta,leg2_stock_price,leg2_otm_pct,leg2_orats_call_coordinate_delta,leg2_option_delta,delta_basis,entry_day,flow_triggers,live_quote_passes,admitted_triggers,hiro_status,bid_excess_z,bid_excess_n,bid_excess_percentile
9,2026-08-19,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.45238095238095,103.87,9.405940594059414,0.0,47.73,0.3968253968253968,96.82539682539682,,92.06349206349206,84.92063492063492,380247.45,2868838,1481139079.56,True,,,2026-08-28,10.0,STO,140.0,0.0335747081352059,0.24,0.29,762.0,2338.0,BTO,135.0,0.3,0.39,565.0,935.0,5.0,0.24,0.1399999999999999,,,9,2026-08-21,2026-09-04,0.969345,73.5299,1.95013,76.61,73.5299,78.6669,0.0512693,98.4879,92.5615,78.4165,70.43469999999999,84.5524,91.4275,-7.981800000000007,4.886600000000001,19.031599999999997,21.877899999999997,7.942400000000006,5.926400000000001,0.3968253968253968,66.66666666666667,100.02600000000001,145.6141,3.843000819786857,False,False,True,-37.04085343678021,-39.129533220070755,2026-08-19,92.52,41265646.0,5.12693,16008853,Application Software,0000-00-00,XLK,Technology,67,67,96.9345,10,67.06,53.38,66.67,True,True,1.639344262295082,,False,False,False,grab,False,True,10.1984126984127,53.45238095238095,305,268,27.885764139286294,False,,,,103.87,34.78386444594204,0.0335747081352059,0.0335747081352059,103.87,29.97015500144411,0.050487561178062,0.050487561178062,ORATS call model delta,2026-08-20,0.0,55.0,0.0,hiro_unavailable,3.4111748936171615,60.0,100.0
11,2026-08-20,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.08730158730158,112.06,14.370279648907935,0.0,54.85,0.0,99.2063492063492,,96.42857142857144,88.88888888888889,397418.85,3013208,1808857700.25,True,,,2026-08-28,9.0,STO,150.0,0.0430813490575061,0.32,0.38,2474.0,1949.0,BTO,145.0,0.43,0.5,442.0,396.0,5.0,0.32,0.22,,,9,2026-08-21,2026-09-04,0.978587,78.2645,2.33914,82.8479,78.2645,81.6067,0.0398799,109.542,101.441,84.0949,74.4046,89.95570000000001,95.6703,-9.690299999999993,5.830399999999997,23.176500000000004,26.694100000000006,7.107800000000012,8.100999999999999,0.0,81.34920634920636,99.93619999999999,144.83065,12.131539922470559,False,False,True,-32.63195863893231,-32.462050613937585,2026-08-20,104.25,44519383.0,3.98799,17351153,Application Software,0000-00-00,XLK,Technology,90,81,97.8587,10,80.95,78.82,90.48,True,True,3.278688524590164,,False,False,False,grab,False,True,10.03968253968254,54.08730158730158,305,267,28.332065544464413,False,,,,112.06,33.85686239514545,0.0430813490575061,0.0430813490575061,112.06,29.394966981973948,0.0605481878688994,0.0605481878688994,ORATS call model delta,2026-08-21,4.0,55.0,4.0,admitted,3.913020732327528,60.0,100.0
14,2026-08-21,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.69047619047619,119.14,27.61353898886032,0.0,55.29,0.3968253968253968,98.41269841269842,,97.22222222222224,79.36507936507937,426973.9,3170021,2131369017.55,True,,,2026-08-28,8.0,STO,160.0,0.0382844360139652,0.26,0.32,442.0,2691.0,BTO,155.0,0.34,0.39,1237.0,2797.0,5.0,0.26,0.16,,,8,2026-08-24,2026-09-04,0.966967,78.2629,2.13138,81.9959,78.2629,81.6979,0.0379081,110.427,105.52699999999999,83.7787,74.7587,91.4984,94.4945,-9.019999999999996,5.515799999999999,27.264099999999985,28.4311,9.502499999999998,4.90000000000002,1.9841269841269842,80.55555555555556,99.99640000000004,144.09525000000002,19.14428919441096,False,False,True,-27.600875060768104,-27.637307485626216,2026-08-21,112.39,47332137.0,3.79081,18964045,Application Software,0000-00-00,XLK,Technology,95,81,96.6967,9,81.35,99.64,95.24,True,True,7.213114754098362,,False,False,False,grab,False,True,10.119047619047619,53.69047619047619,305,270,33.33335716200053,False,,,,119.14,34.29578646969951,0.0382844360139652,0.0382844360139652,119.14,30.09904314252141,0.0540804112923037,0.0540804112923037,ORATS call model delta,2026-08-24,7.0,37.0,6.0,admitted,4.0521401345778365,59.0,100.0
18,2026-08-24,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.38492063492064,122.28,25.03067484662578,0.0,54.13,1.1904761904761905,99.6031746031746,,94.84126984126983,98.015873015873,437998.85,2595783,2423662877.25,True,,,2026-08-28,5.0,STO,155.0,0.0354467656584631,0.22,0.27,2940.0,888.0,BTO,152.5,0.25,0.3,0.0,210.0,2.5,0.22,0.12,,,7,2026-08-25,2026-09-04,0.966788,77.7847,2.20233,85.918,77.7847,80.51,0.0421252,111.00399999999999,98.3108,83.7063,75.6117,94.78259999999999,89.5644,-8.0946,5.921599999999998,20.5261,25.085999999999984,8.864599999999982,12.69319999999999,1.5873015873015872,88.0952380952381,100.0394,143.46020000000001,22.231840654782008,False,False,True,-23.65134865134865,-22.182256728566564,2026-08-24,119.25,48579601.0,4.21252,20324217,Application Software,0000-00-00,XLK,Technology,90,79,96.6788,9,79.37,94.85,90.48,True,True,13.442622950819672,,False,False,False,grab,False,True,10.13888888888889,54.38492063492064,305,270,30.865946851056492,False,,,,122.28,26.758259731763157,0.0354467656584631,0.0354467656584631,122.28,24.713771671573447,0.0452372844496055,0.0452372844496055,ORATS call model delta,2026-08-25,1.0,12.0,0.0,no_live_quote_gate_at_flow_trigger,2.763101452491009,52.0,96.15384615384616
39,2026-08-24,CCJ,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,26.904761904761905,102.31,3.605063291139232,0.0,30.0,21.428571428571427,71.03174603174604,19.047619047619047,56.34920634920635,72.61904761904762,26037.2,400454,309120647.67,True,,put,2026-09-18,26.0,BTO,75.0,0.99302282201715,0.03,0.06,3268.0,3.0,STO,70.0,0.01,0.05,1218.0,0.0,5.0,0.0499999999999999,,26.693382856025806,,5,2026-08-27,2026-09-04,0.968815,47.8474,2.38184,51.4436,47.8474,48.530699999999996,0.0553258,57.30030000000001,50.698600000000006,48.680299999999995,47.9186,53.711600000000004,48.4948,-0.7616999999999976,0.8328999999999951,2.8512000000000057,5.856700000000004,2.2680000000000007,6.601700000000001,12.698412698412698,31.349206349206348,96.199,104.82779999999998,6.352456886246216,False,False,True,-2.3573200992555776,-0.8882281764734934,2026-08-24,102.51,44559379.0,5.53258,3015517,Uranium,0000-00-00,XLE,Energy,48,19,96.8815,9,19.44,56.68,47.62,True,True,38.062283737024224,,False,False,False,,False,False,13.59126984126984,24.265873015873012,289,256,,False,0.07119999999999749,True,26.904761904761905,102.31,26.693382856025806,0.99302282201715,-0.006977177982850025,102.31,31.580490665624083,0.9986266211697652,-0.001373378830234806,ORATS call delta minus one; put approximation,2026-08-25,0.0,55.0,0.0,hiro_unavailable,,,
45,2026-08-24,CRWV,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,46.745714285714286,86.34,-18.654607122668175,-20.077756178839213,17.54,0.7936507936507936,98.015873015873,2.7777777777777777,81.74603174603175,57.142857142857146,257382.95,2029389,2855173405.35,True,,put,2026-09-18,26.0,BTO,47.5,0.9972031136234032,0.04,0.06,1284.0,13.0,STO,42.5,0.01,0.09,386.0,5.0,5.0,0.0499999999999999,,44.984943247625665,,5,2026-08-27,2026-09-04,0.989427,76.2667,2.94025,81.1204,76.2667,81.8894,0.0250445,90.46610000000001,86.3877,78.60340000000001,76.1809,87.7521,82.6709,-2.4225000000000136,2.3367000000000075,10.120999999999995,9.345700000000008,6.631699999999995,4.078400000000016,5.158730158730159,15.476190476190476,89.8282,91.81735,-3.8831903567031256,False,False,False,-17.958950969213216,-16.489859046431132,2026-08-24,87.85,47619670.0,2.50445,32500551,Infrastructure Software,0000-00-00,XLK,Technology,19,7,98.9427,11,7.14,1.57,19.05,True,True,17.99307958477509,,False,False,False,,False,False,10.178571428571429,26.03174603174603,289,256,,False,-0.0858000000000061,True,46.745714285714286,86.34,44.984943247625665,0.9972031136234032,-0.0027968863765968077,86.34,50.77600185313875,0.9994608057329374,-0.0005391942670626149,ORATS call delta minus one; put approximation,2026-08-25,0.0,55.0,0.0,hiro_unavailable,,,
54,2026-08-24,GOOG,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,30.94904761904762,345.57,1.286710827129367,-8.429169537336367,26.67,26.19047619047619,53.96825396825397,10.714285714285714,82.14285714285714,75.39682539682539,178516.55,1668003,6190338520.5,True,,put,2026-09-18,26.0,BTO,255.0,0.9993424931239288,0.09,0.13,2237.0,2.0,STO,250.0,0.08,0.14,8145.0,80.0,5.0,0.05,,26.20887229794253,,5,2026-08-27,2026-09-04,0.989549,28.5835,3.5428,29.8333,28.5835,33.458,0.0108299,33.6921,30.6098,28.3563,29.124100000000002,34.7588,32.0544,0.7678000000000011,-0.22719999999999985,2.026299999999999,3.8588000000000022,4.9254999999999995,3.0823000000000036,17.063492063492063,28.174603174603174,350.11879999999996,332.30944999999997,-1.2992161517747625,False,True,False,-8.745939950883308,-7.276848028101224,2026-08-24,341.75,4226298580.0,1.08299,18113646,Internet Content & Media,0000-00-00,XLC,Comm,43,21,98.9549,9,21.43,24.52,42.86,True,True,24.567474048442904,,False,False,False,,False,False,14.920634920634921,26.984126984126984,289,256,,False,0.5406000000000013,True,30.94904761904762,345.57,26.20887229794253,0.9993424931239288,-0.0006575068760712455,345.57,27.655757154845617,0.999361570034106,-0.0006384299658940273,ORATS call delta minus one; put approximation,2026-08-25,0.0,0.0,0.0,hiro_unavailable,,,
55,2026-08-24,GOOGL,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,29.094603174603176,349.19,1.6328074975260565,-8.105476459906846,29.08,24.20634920634921,59.92063492063492,9.92063492063492,74.60317460317461,54.36507936507937,471646.7,3130467,9255976019.22,True,,put,2026-10-16,54.0,BTO,235.0,0.9960895069635434,0.16,0.2,495.0,19.0,STO,230.0,0.14,0.19,449.0,5.0,5.0,0.06,,32.701394656204364,,5,2026-08-27,2026-09-04,0.983245,28.7142,3.44137,28.010800000000003,28.7142,33.8359,0.0103884,31.384099999999997,31.285,28.665200000000002,29.2732,32.0598,33.3293,0.607999999999997,-0.04899999999999949,2.5707999999999984,3.3732999999999933,4.0489999999999995,0.09909999999999641,11.11111111111111,19.047619047619047,351.78799999999995,333.3075,-0.7385129680375524,False,True,False,-8.641620009418672,-7.1725280866365875,2026-08-24,344.82,4270570944.0,1.03884,26842921,Internet Content & Media,0000-00-00,XLC,Comm,43,21,98.3245,9,21.43,25.26,42.86,True,True,25.259515570934255,,False,False,False,,False,False,14.424603174603174,25.17857142857143,289,256,,False,0.5589999999999975,True,29.094603174603176,349.19,32.701394656204364,0.9960895069635434,-0.00391049303645663,349.19,34.133279876285116,0.9972535472885752,-0.0027464527114248183,ORATS call delta minus one; put approximation,2026-08-25,0.0,0.0,0.0,hiro_unavailable,,,
68,2026-08-24,NVDA,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,44.36174603174603,208.45,-7.585564816456825,-7.6306110692604285,16.67,9.523809523809524,90.07936507936508,10.317460317460318,86.11111111111111,94.44444444444444,3119183.3,13516184,24886162875.2,True,,put,2026-09-18,26.0,BTO,130.0,0.998789259630804,0.12,0.13,29912.0,377.0,STO,125.0,0.1,0.11,39162.0,9479.0,5.0,0.03,,37.634924442312304,,5,2026-08-27,2026-09-04,0.983244,33.9068,2.82545,54.020900000000005,41.247,39.6124,0.00550423,58.5653,44.4375,33.9899,35.0574,58.3492,51.8027,1.0675000000000026,0.08310000000000173,3.1905,4.544399999999996,4.328299999999999,14.1278,1.1904761904761905,89.28571428571429,207.6122,195.3387,0.40354083237881255,False,True,True,-3.257994152318189,-1.7889022295361046,2026-08-24,214.72,5048867450.0,0.55042,115900535,Semiconductors,0000-00-00,XLK,Technology,52,21,98.3244,0,13.1,29.4,42.86,True,True,35.6401384083045,,False,False,False,other,True,False,11.4484126984127,3.3333333333333357,289,256,,True,1.1506000000000043,True,44.36174603174603,208.45,37.634924442312304,0.998789259630804,-0.001210740369195995,208.45,40.03358119453105,0.9988092776037644,-0.0011907223962356328,ORATS call delta minus one; put approximation,2026-08-25,0.0,55.0,0.0,hiro_unavailable,,,
75,2026-08-24,PLTR,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,35.73079365079364,176.72,2.2626005439499997,-1.7458022906705284,17.92,32.142857142857146,57.53968253968254,24.603174603174605,40.07936507936508,70.63492063492063,613243.7,3425968,8271661500.12,True,,put,2026-09-18,26.0,BTO,105.0,0.9994686015612064,0.13,0.16,8391.0,47.0,STO,100.0,0.12,0.15,14719.0,26.0,5.0,0.04,,40.58397464916251,,4,2026-08-27,2026-09-01,0.989555,46.428399999999996,4.0,49.8687,46.428399999999996,55.173300000000005,0.0110117,52.0347,50.2606,46.0071,47.9987,58.7635,59.3986,1.9915999999999983,-0.4212999999999951,3.8322000000000003,2.166000000000004,8.894800000000004,1.7741000000000042,11.11111111111111,34.523809523809526,139.89600000000002,151.40375,26.322410933836558,True,True,True,29.03037383177569,30.499465754557775,2026-08-24,179.94,423625604.0,1.10117,45968998,Infrastructure Software,0000-00-00,XLK,Technology,29,16,98.9555,10,14.68,16.06,28.57,True,True,88.23529411764706,,False,False,False,,False,False,15.337301587301589,22.539682539682538,289,256,,False,1.5703000000000031,True,35.73079365079364,176.72,40.58397464916251,0.9994686015612064,-0.0005313984387935733,176.72,43.413309189678586,0.9998276779984412,-0.00017232200155881117,ORATS call delta minus one; put approximation,2026-08-25,0.0,55.0,0.0,hiro_unavailable,,,
