tradeDate,ticker,scenario,pandar_approval_scope,pandar_direct_portion,project_derived_portion,first_action,source_dataset,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,ivRank1y,rr25_pct252,callskew_pct252,putskew_pct252,call_wing_10_pct252,call_kink_pct252,avgOptVolu20d,oi,dollar_stock_volume,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,long_otm_pct,lower_otm_pct,hiro_followup_available_sessions,hiro_followup_first_session,hiro_followup_last_session
2026-08-11,FANG,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.1547619047619,202.21,5.45501955671448,-1.777820954971587,53.12,5.9523809523809526,82.14285714285714,,87.6984126984127,87.6984126984127,2342.55,74779,392010694.0,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-21,11.0,STO,230.0,0.021132228744657,0.1,0.35,1161.0,7.0,BTO,220.0,0.35,0.65,1167.0,177.0,10.0,0.1,0.1,,,8,2026-08-21,2026-09-02
2026-08-12,FDX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.39285714285714,326.37,4.756860857005285,0.0,31.88,8.333333333333334,93.25396825396824,,97.22222222222224,73.41269841269842,4623.05,52593,490212576.67,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-21,10.0,STO,355.0,0.0498100628790027,0.05,1.5,77.0,0.0,BTO,350.0,0.3,0.82,504.0,7.0,5.0,0.05,0.1,,,9,2026-08-21,2026-09-04
2026-08-12,LRCX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.25396825396825,325.38,4.6877513593513775,0.0,56.7,0.3968253968253968,96.82539682539682,,93.65079365079364,77.77777777777777,53708.45,630499,3450924792.92,False,far-call quote wider than 0.10,,2026-08-21,10.0,STO,400.0,0.0428260600970391,0.49,0.75,4491.0,111.0,BTO,395.0,0.61,0.9,34.0,11.0,5.0,0.49,0.39,,,10,2026-08-21,2026-09-04
2026-08-13,LRCX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.670634920634924,336.71,9.19379945518224,0.0,57.5,0.3968253968253968,99.6031746031746,,96.82539682539682,79.76190476190476,54323.65,645895,3573013453.3700004,False,far-call quote wider than 0.10,,2026-08-21,9.0,STO,420.0,0.0344693674277964,0.43,0.83,1594.0,43.0,BTO,410.0,0.7,1.05,1305.0,54.0,10.0,0.43,0.3299999999999999,,,10,2026-08-21,2026-09-04
2026-08-13,SMCI,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.492063492063494,39.27,32.62411347517731,0.0,63.25,1.5873015873015872,94.84126984126983,,94.84126984126983,80.15873015873017,287321.3,2582965,2037125754.31,False,far-call bid below 0.20,,2026-08-21,9.0,STO,55.0,0.0274809485034296,0.06,0.09,6862.0,2953.0,BTO,50.0,0.18,0.21,19563.0,14147.0,5.0,0.06,0.1,,,8,2026-08-21,2026-09-02
2026-08-17,GS,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.24603174603175,1050.83,1.666005553351857,-4.383945550995905,37.88,1.5873015873015872,95.63492063492065,,99.2063492063492,86.5079365079365,36360.45,467287,1961430235.06,False,far-call quote wider than 0.10,,2026-08-21,5.0,STO,1125.0,0.0408369944126755,0.43,0.71,285.0,129.0,BTO,1120.0,0.61,1.02,770.0,104.0,5.0,0.43,0.3299999999999999,,,8,2026-08-21,2026-09-02
2026-08-17,LRCX,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.23412698412698,342.66,11.1774439505532,0.0,50.23,1.984126984126984,94.44444444444444,,92.85714285714286,78.96825396825396,53989.65,627021,3569296797.6400003,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-21,5.0,STO,395.0,0.0425398298353415,0.16,1.21,558.0,72.0,BTO,390.0,0.58,0.77,582.0,289.0,5.0,0.16,0.1,,,10,2026-08-21,2026-09-04
2026-08-19,COIN,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,52.400793650793645,159.02,6.947340103571187,-4.994623013502197,59.16,2.380952380952381,92.46031746031746,,88.88888888888889,70.23809523809524,126705.0,1129119,1128087533.02,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-28,10.0,STO,205.0,0.0368971245478475,0.12,0.67,143.0,74.0,BTO,200.0,0.43,0.5,429.0,1013.0,5.0,0.12,0.1,,,8,2026-08-21,2026-09-02
2026-08-19,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.45238095238095,103.87,9.405940594059414,0.0,47.73,0.3968253968253968,96.82539682539682,,92.06349206349206,84.92063492063492,380247.45,2868838,1481139079.56,True,,,2026-08-28,10.0,STO,140.0,0.0335747081352059,0.24,0.29,762.0,2338.0,BTO,135.0,0.3,0.39,565.0,935.0,5.0,0.24,0.1399999999999999,,,9,2026-08-21,2026-09-04
2026-08-20,COIN,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.76984126984127,171.56,11.656361861373243,0.0,68.49,0.0,98.015873015873,,98.41269841269842,78.57142857142857,138560.05,1166740,1259514828.0,False,far-call quote wider than 0.10,,2026-08-28,9.0,STO,225.0,0.0386485114213654,0.29,0.42,189.0,441.0,BTO,220.0,0.41,0.5,480.0,210.0,5.0,0.29,0.1899999999999999,,,8,2026-08-21,2026-09-02
2026-08-20,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.08730158730158,112.06,14.370279648907935,0.0,54.85,0.0,99.2063492063492,,96.42857142857144,88.88888888888889,397418.85,3013208,1808857700.25,True,,,2026-08-28,9.0,STO,150.0,0.0430813490575061,0.32,0.38,2474.0,1949.0,BTO,145.0,0.43,0.5,442.0,396.0,5.0,0.32,0.22,,,9,2026-08-21,2026-09-04
2026-08-20,NEM,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.53174603174603,127.39,11.94200351493848,0.0,50.83,0.3968253968253968,96.82539682539682,,97.22222222222224,76.19047619047619,26956.85,599821,914216599.4,False,no 2-6 delta call in 5-19 DTE,,,,,,,,,,,,,,,,,,,,,,10,2026-08-21,2026-09-04
2026-08-21,MRK,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.05555555555556,152.93,12.9134672179563,0.0,67.86,3.968253968253968,91.66666666666669,,93.65079365079364,73.80952380952381,33533.8,560806,1470366070.0900002,False,far-call bid below 0.20; far-call quote wider than 0.10,,2026-08-28,8.0,STO,165.0,0.0477280484640312,0.12,0.23,292.0,83.0,BTO,162.5,0.26,0.32,5.0,111.0,2.5,0.12,0.1,,,7,2026-08-24,2026-09-02
2026-08-21,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.69047619047619,119.14,27.61353898886032,0.0,55.29,0.3968253968253968,98.41269841269842,,97.22222222222224,79.36507936507937,426973.9,3170021,2131369017.55,True,,,2026-08-28,8.0,STO,160.0,0.0382844360139652,0.26,0.32,442.0,2691.0,BTO,155.0,0.34,0.39,1237.0,2797.0,5.0,0.26,0.16,,,8,2026-08-24,2026-09-04
