tradeDate,ticker,scenario,pandar_approval_scope,pandar_direct_portion,project_derived_portion,first_action,source_dataset,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,ivRank1y,rr25_pct252,callskew_pct252,putskew_pct252,call_wing_10_pct252,call_kink_pct252,avgOptVolu20d,oi,dollar_stock_volume,chain_confirmed,failure_reason,option_side,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,long_otm_pct,lower_otm_pct,hiro_followup_available_sessions,hiro_followup_first_session,hiro_followup_last_session
2026-08-19,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.45238095238095,103.87,9.405940594059414,0.0,47.73,0.3968253968253968,96.82539682539682,,92.06349206349206,84.92063492063492,380247.45,2868838,1481139079.56,True,,,2026-08-28,10.0,STO,140.0,0.0335747081352059,0.24,0.29,762.0,2338.0,BTO,135.0,0.3,0.39,565.0,935.0,5.0,0.24,0.1399999999999999,,,9,2026-08-21,2026-09-04
2026-08-20,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.08730158730158,112.06,14.370279648907935,0.0,54.85,0.0,99.2063492063492,,96.42857142857144,88.88888888888889,397418.85,3013208,1808857700.25,True,,,2026-08-28,9.0,STO,150.0,0.0430813490575061,0.32,0.38,2474.0,1949.0,BTO,145.0,0.43,0.5,442.0,396.0,5.0,0.32,0.22,,,9,2026-08-21,2026-09-04
2026-08-21,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,53.69047619047619,119.14,27.61353898886032,0.0,55.29,0.3968253968253968,98.41269841269842,,97.22222222222224,79.36507936507937,426973.9,3170021,2131369017.55,True,,,2026-08-28,8.0,STO,160.0,0.0382844360139652,0.26,0.32,442.0,2691.0,BTO,155.0,0.34,0.39,1237.0,2797.0,5.0,0.26,0.16,,,8,2026-08-24,2026-09-04
2026-08-24,MSTR,sell-first call grab,Pandar-direct call-tail sale/crush core only; conversion is derived,sell unusually overpriced far-OTM front-weekly call tails; expect local wing crush; size for strike touch,RR/wing/kink gates; 2-6 delta and 5-19 DTE selection; nearer-call conversion; order and stop rules,sell far-OTM call,2026-08-11_to_2026-08-27_call_scan,54.38492063492064,122.28,25.03067484662578,0.0,54.13,1.1904761904761905,99.6031746031746,,94.84126984126983,98.015873015873,437998.85,2595783,2423662877.25,True,,,2026-08-28,5.0,STO,155.0,0.0354467656584631,0.22,0.27,2940.0,888.0,BTO,152.5,0.25,0.3,0.0,210.0,2.5,0.22,0.12,,,7,2026-08-25,2026-09-04
2026-08-24,CCJ,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,26.904761904761905,102.31,3.605063291139232,0.0,30.0,21.428571428571427,71.03174603174604,19.047619047619047,56.34920634920635,72.61904761904762,26037.2,400454,309120647.67,True,,put,2026-09-18,26.0,BTO,75.0,0.99302282201715,0.03,0.06,3268.0,3.0,STO,70.0,0.01,0.05,1218.0,0.0,5.0,0.0499999999999999,,26.693382856025806,,5,2026-08-27,2026-09-04
2026-08-24,CRWV,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,46.745714285714286,86.34,-18.654607122668175,-20.077756178839213,17.54,0.7936507936507936,98.015873015873,2.7777777777777777,81.74603174603175,57.142857142857146,257382.95,2029389,2855173405.35,True,,put,2026-09-18,26.0,BTO,47.5,0.9972031136234032,0.04,0.06,1284.0,13.0,STO,42.5,0.01,0.09,386.0,5.0,5.0,0.0499999999999999,,44.984943247625665,,5,2026-08-27,2026-09-04
2026-08-24,GOOG,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,30.94904761904762,345.57,1.286710827129367,-8.429169537336367,26.67,26.19047619047619,53.96825396825397,10.714285714285714,82.14285714285714,75.39682539682539,178516.55,1668003,6190338520.5,True,,put,2026-09-18,26.0,BTO,255.0,0.9993424931239288,0.09,0.13,2237.0,2.0,STO,250.0,0.08,0.14,8145.0,80.0,5.0,0.05,,26.20887229794253,,5,2026-08-27,2026-09-04
2026-08-24,GOOGL,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,29.094603174603176,349.19,1.6328074975260565,-8.105476459906846,29.08,24.20634920634921,59.92063492063492,9.92063492063492,74.60317460317461,54.36507936507937,471646.7,3130467,9255976019.22,True,,put,2026-10-16,54.0,BTO,235.0,0.9960895069635434,0.16,0.2,495.0,19.0,STO,230.0,0.14,0.19,449.0,5.0,5.0,0.06,,32.701394656204364,,5,2026-08-27,2026-09-04
2026-08-24,NVDA,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,44.36174603174603,208.45,-7.585564816456825,-7.6306110692604285,16.67,9.523809523809524,90.07936507936508,10.317460317460318,86.11111111111111,94.44444444444444,3119183.3,13516184,24886162875.2,True,,put,2026-09-18,26.0,BTO,130.0,0.998789259630804,0.12,0.13,29912.0,377.0,STO,125.0,0.1,0.11,39162.0,9479.0,5.0,0.03,,37.634924442312304,,5,2026-08-27,2026-09-04
2026-08-24,PLTR,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,35.73079365079364,176.72,2.2626005439499997,-1.7458022906705284,17.92,32.142857142857146,57.53968253968254,24.603174603174605,40.07936507936508,70.63492063492063,613243.7,3425968,8271661500.12,True,,put,2026-09-18,26.0,BTO,105.0,0.9994686015612064,0.13,0.16,8391.0,47.0,STO,100.0,0.12,0.15,14719.0,26.0,5.0,0.04,,40.58397464916251,,4,2026-08-27,2026-09-01
2026-08-24,TGT,buy-first put-tail inventory,Pandar-direct inventory program; exact scanner geometry is partly mechanized,accumulate cheap far-OTM 1:1 put vertical inventory; usually about $5 wide and under $0.10; recycle and roll,IV/RR/put-skew gates; fixed 25-45% OTM band; complete-at-entry rule; universal 3x/5x exits,buy complete put spread in this implementation,2026-08-24_to_2026-09-02_four_method_scan,43.97888888888889,169.44,11.98202366003569,0.0,14.91,17.46031746031746,78.57142857142857,13.095238095238097,47.61904761904762,46.82539682539682,36284.45,426834,723325352.64,True,,put,2026-09-18,26.0,BTO,125.0,0.999233764369018,0.01,0.03,899.0,64.0,STO,120.0,0.01,0.04,5744.0,1.0,5.0,0.0199999999999999,,26.227573182247397,,5,2026-08-27,2026-09-04
